profile_id,jaw_id,vertex_id,x_mm,z_mm
P001,jaw_0,0,5,-16
P001,jaw_0,1,5,-24
P001,jaw_0,2,7.66,-24
P001,jaw_0,3,8.78,-20
P001,jaw_0,4,9.49,-16
P001,jaw_1,0,11.9,-16
P001,jaw_1,1,10.78,-20
P001,jaw_1,2,10.07,-24
P001,jaw_1,3,57.39,-24
P001,jaw_1,4,59.82,-20
P001,jaw_1,5,61.7,-16
P001,jaw_2,0,64.26,-16
P001,jaw_2,1,61.82,-20
P001,jaw_2,2,59.95,-24
P001,jaw_2,3,96.82,-24
P001,jaw_2,4,99.41,-20
P001,jaw_2,5,101.47,-16
P001,jaw_3,0,104,-16
P001,jaw_3,1,101.41,-20
P001,jaw_3,2,99.35,-24
P001,jaw_3,3,150,-24
P001,jaw_3,4,150,-16
P001,jaw_4,0,5,-70
P001,jaw_4,1,5,-24
P001,jaw_4,2,9,-24
P001,jaw_4,3,9,-70
P001,jaw_5,0,30,-70
P001,jaw_5,1,30,-24
P001,jaw_5,2,34,-24
P001,jaw_5,3,34,-70
P001,jaw_6,0,96,-70
P001,jaw_6,1,96,-24
P001,jaw_6,2,100,-24
P001,jaw_6,3,100,-70
P001,jaw_7,0,146,-70
P001,jaw_7,1,146,-24
P001,jaw_7,2,150,-24
P001,jaw_7,3,150,-70
