profile_id,jaw_id,vertex_id,x_mm,z_mm
P001,jaw_0,0,16,-24
P001,jaw_0,1,29.06,-24
P001,jaw_0,2,27.02,-20
P001,jaw_0,3,24.53,-16
P001,jaw_0,4,16,-16
P001,jaw_1,0,31.51,-24
P001,jaw_1,1,29.02,-20
P001,jaw_1,2,26.98,-16
P001,jaw_1,3,44.87,-16
P001,jaw_1,4,47.65,-20
P001,jaw_1,5,49.94,-24
P001,jaw_2,0,52.43,-24
P001,jaw_2,1,49.65,-20
P001,jaw_2,2,47.36,-16
P001,jaw_2,3,75.38,-16
P001,jaw_2,4,78.56,-20
P001,jaw_2,5,81.33,-24
P001,jaw_3,0,83.74,-24
P001,jaw_3,1,80.56,-20
P001,jaw_3,2,77.79,-16
P001,jaw_3,3,131,-16
P001,jaw_3,4,131,-24
P001,jaw_4,0,16,-72
P001,jaw_4,1,16,-24
P001,jaw_4,2,20,-24
P001,jaw_4,3,20,-72
P001,jaw_5,0,67.13,-72
P001,jaw_5,1,37.24,-24
P001,jaw_5,2,43.85,-24
P001,jaw_5,3,71.32,-72
P001,jaw_6,0,97.07,-72
P001,jaw_6,1,63.71,-24
P001,jaw_6,2,72.45,-24
P001,jaw_6,3,105.65,-72
P001,jaw_7,0,127,-72
P001,jaw_7,1,127,-24
P001,jaw_7,2,131,-24
P001,jaw_7,3,131,-72
P002,jaw_0,0,7,-24
P002,jaw_0,1,7,-16
P002,jaw_0,2,15.2,-16
P002,jaw_0,3,17.61,-20
P002,jaw_0,4,19.42,-24
P002,jaw_1,0,21.03,-24
P002,jaw_1,1,18.61,-20
P002,jaw_1,2,16.8,-16
P002,jaw_1,3,34.92,-16
P002,jaw_1,4,37.74,-20
P002,jaw_1,5,39.96,-24
P002,jaw_2,0,42.56,-24
P002,jaw_2,1,39.74,-20
P002,jaw_2,2,37.53,-16
P002,jaw_2,3,55.04,-16
P002,jaw_2,4,57.81,-20
P002,jaw_2,5,60.16,-24
P002,jaw_3,0,62.57,-24
P002,jaw_3,1,59.81,-20
P002,jaw_3,2,57.45,-16
P002,jaw_3,3,105,-16
P002,jaw_3,4,105,-24
P002,jaw_4,0,7,-72
P002,jaw_4,1,7,-24
P002,jaw_4,2,11,-24
P002,jaw_4,3,11,-72
P002,jaw_5,0,54.43,-72
P002,jaw_5,1,25.44,-24
P002,jaw_5,2,32.3,-24
P002,jaw_5,3,58.86,-72
P002,jaw_6,0,79.93,-72
P002,jaw_6,1,46.12,-24
P002,jaw_6,2,55.88,-24
P002,jaw_6,3,84.11,-72
P002,jaw_7,0,101,-72
P002,jaw_7,1,101,-24
P002,jaw_7,2,105,-24
P002,jaw_7,3,105,-72
