profile_id,jaw_id,vertex_id,x_mm,z_mm
P001,jaw_0,0,-650,-24
P001,jaw_0,1,-650,-16
P001,jaw_0,2,-647.17,-16
P001,jaw_0,3,-642.7,-20
P001,jaw_0,4,-642.59,-24
P001,jaw_1,0,-636.22,-24
P001,jaw_1,1,-640.7,-20
P001,jaw_1,2,-640.81,-16
P001,jaw_1,3,-548.95,-16
P001,jaw_1,4,-540.68,-20
P001,jaw_1,5,-536.97,-24
P001,jaw_2,0,-530.41,-24
P001,jaw_2,1,-538.68,-20
P001,jaw_2,2,-542.4,-16
P001,jaw_2,3,-400,-16
P001,jaw_2,4,-400,-24
P001,jaw_3,0,-400,-24
P001,jaw_3,1,-400,-80
P001,jaw_3,2,-404,-80
P001,jaw_3,3,-404,-24
P001,jaw_4,0,-650,-80
P001,jaw_4,1,-650,-24
P001,jaw_4,2,-646,-24
P001,jaw_4,3,-646,-80
P002,jaw_0,0,21,-20
P002,jaw_0,1,46.47,-20
P002,jaw_0,2,50.23,-24
P002,jaw_0,3,52.65,-28
P002,jaw_0,4,21,-28
P002,jaw_1,0,48.82,-20
P002,jaw_1,1,189,-20
P002,jaw_1,2,189,-28
P002,jaw_1,3,54.99,-28
P002,jaw_1,4,51.23,-24
P002,jaw_2,0,21,-28
P002,jaw_2,1,29,-28
P002,jaw_2,2,29,-113
P002,jaw_2,3,21,-113
P003,jaw_0,0,-650,-16
P003,jaw_0,1,-650,-24
P003,jaw_0,2,-647.17,-24
P003,jaw_0,3,-642.7,-20
P003,jaw_0,4,-642.59,-16
P003,jaw_1,0,-636.22,-16
P003,jaw_1,1,-640.7,-20
P003,jaw_1,2,-640.81,-24
P003,jaw_1,3,-548.95,-24
P003,jaw_1,4,-540.68,-20
P003,jaw_1,5,-536.97,-16
P003,jaw_2,0,-530.41,-16
P003,jaw_2,1,-538.68,-20
P003,jaw_2,2,-542.4,-24
P003,jaw_2,3,-400,-24
P003,jaw_2,4,-400,-16
P003,jaw_3,0,-400,-24
P003,jaw_3,1,-400,-80
P003,jaw_3,2,-404,-80
P003,jaw_3,3,-404,-24
P003,jaw_4,0,-650,-80
P003,jaw_4,1,-650,-24
P003,jaw_4,2,-646,-24
P003,jaw_4,3,-646,-80
