profile_id,jaw_id,vertex_id,x_mm,z_mm
P001,jaw_0,0,21,-20
P001,jaw_0,1,45.97,-20
P001,jaw_0,2,49.73,-24
P001,jaw_0,3,52.15,-28
P001,jaw_0,4,21,-28
P001,jaw_1,0,49.32,-20
P001,jaw_1,1,189,-20
P001,jaw_1,2,189,-28
P001,jaw_1,3,55.49,-28
P001,jaw_1,4,51.73,-24
P001,jaw_2,0,21,-28
P001,jaw_2,1,29,-28
P001,jaw_2,2,29,-113
P001,jaw_2,3,21,-113
P002,jaw_0,0,21,-20
P002,jaw_0,1,46.47,-20
P002,jaw_0,2,50.23,-24
P002,jaw_0,3,52.65,-28
P002,jaw_0,4,21,-28
P002,jaw_1,0,48.82,-20
P002,jaw_1,1,189,-20
P002,jaw_1,2,189,-28
P002,jaw_1,3,54.99,-28
P002,jaw_1,4,51.23,-24
P002,jaw_2,0,21,-28
P002,jaw_2,1,29,-28
P002,jaw_2,2,29,-113
P002,jaw_2,3,21,-113
